participant,EEm,inEEm,outEEm,BR,inBR,outBR,timeToSplit,activities
GOTOV05,3.2519343207220306,2.605614737401861,4.23057430156362,0.3008492569002123,0.32909504642590837,0.4569120549985528,2016-02-08 13:26:15.995000,c
GOTOV06,3.507989846369411,2.7375829712832296,5.128563459337669,0.24275724275724275,0.2788887013817021,0.33562174142190304,2016-02-09 10:30:12,c
GOTOV07,4.925618528430143,3.209496222136862,6.5267241089076125,0.21948630536874378,0.2431489066797271,0.32652202306262873,2016-02-10 10:22:04.004000,a
GOTOV08,4.426595912537624,2.655238399928567,5.9920845096135205,0.27663808940600126,0.2891774897686819,0.41123499142367065,2016-02-11 10:21:50.997000,a
GOTOV09,3.6304033265022375,2.723088487124237,5.232247385477209,0.32653927813163486,0.35313174946004317,0.5,2016-02-12 11:17:21.002000,c
GOTOV10,5.028491909154361,2.9690500575425,6.510191534287779,0.22497749091131758,0.21070446429236836,0.3772365438852573,2016-02-17 10:26:17.002000,a
GOTOV11,4.79718630009766,2.946295750902902,6.816672302846454,0.25959620794301524,0.304201853176864,0.34029038112522686,2016-02-18 10:17:50.004000,a
GOTOV12,5.107099780569298,3.442711707008119,6.558847428436533,0.2723178897946314,0.274399193393999,0.3868150917821388,2016-02-19 11:12:25.004000,a
GOTOV13,2.1710248996435837,2.1710248996435837,,0.3313897064045006,0.3313897064045006,,,b
GOTOV14,3.7524140967128865,3.7524140967128865,,0.31644669226461325,0.31644669226461325,,,b
GOTOV15,3.968740462215272,3.030257009794872,5.686657096763014,0.2452289140347656,0.2948490230905862,0.3718257627751633,2016-02-24 10:19:57,c
GOTOV16,3.6920856551921233,2.6264018705858354,4.662826774760992,0.3030204081632653,0.30017028891390307,0.4140724946695096,2016-02-26 11:41:05.995000,a
GOTOV17,3.9041333491999324,2.088809800838237,5.528736881670281,0.2620844733756163,0.2998896010809207,0.399737876802097,2016-03-11 13:23:22.002000,a
GOTOV18,2.879143608899343,2.879143608899343,,0.2857142857142857,0.2857142857142857,,,b
GOTOV20,4.771780637540367,2.7730859855472123,6.613943226599738,0.24769339435806365,0.27233535641306705,0.36573457612072796,2016-03-23 11:22:28.002000,a
GOTOV21,6.083475936801207,3.8314332436392657,7.9011582175275406,0.2771711659862584,0.2816326530612245,0.39923597858635673,2016-03-24 14:09:57,a
GOTOV22,2.924238315584906,2.924238315584906,,0.26525198938992045,0.26525198938992045,,,b
GOTOV23,2.768704465633366,2.768704465633366,,0.32078368473787305,0.32078368473787305,,,b
GOTOV24,2.9788918860220233,2.9788918860220233,,0.38095238095238093,0.38095238095238093,,,b
GOTOV25,3.117766844450868,3.117766844450868,,0.28279052841267704,0.28279052841267704,,,b
GOTOV26,3.1186675992363195,3.1186675992363195,,0.2757761511067792,0.2757761511067792,,,b
GOTOV27,2.948835378297211,2.948835378297211,,0.24571243393001277,0.24571243393001277,,,b
GOTOV28,4.837053785597735,3.0627978059664684,6.583402435479669,0.31664313942173444,0.3098864322888376,0.4044150482538403,2016-05-04 12:17:39.997000,a
GOTOV29,4.692404401704838,3.02934021177205,6.338533887993739,0.28814969871306206,0.32722984741350125,0.3850340136054422,2016-05-17 12:10:49,a
GOTOV30,2.2543591759093005,2.2543591759093005,,0.39331172238504236,0.39331172238504236,,,b
GOTOV31,5.3029184603828154,3.1100402330555954,7.123827987764272,0.3292682926829268,0.3156269197430027,0.4905670120496763,2016-05-19 11:17:19.004000,a
GOTOV32,2.776887563910012,2.776887563910012,,0.3480091883614089,0.3480091883614089,,,b
GOTOV33,4.029814559907048,2.7678341903906323,5.627812497007091,0.31167053022438573,0.3721350511931239,0.38512832685574183,2016-05-24 09:35:50.004000,a
GOTOV34,2.6666893302535035,2.6666893302535035,,0.32579579979162415,0.32579579979162415,,,b
GOTOV35,5.272450112536447,3.0188022092796545,7.123091617350865,0.25283242176450976,0.23299827434445566,0.37945217431258493,2016-05-26 12:04:11.004000,a
GOTOV36,2.089350882831861,2.089350882831861,,0.36601087510285774,0.36601087510285774,,,b
